k,MIDPOINT_H,TRAPAZOIDAL_H,SIMPSON_H
100,0.302744832877167,0.302744832877167,0.302744832877167
101,0.360658988020288,0.360658988020288,0.360658988020288
102,0.410777781617506,0.410777781617506,0.410777781617506
103,0.444464378062125,0.444464378062125,0.444464378062125
104,0.452502682308311,0.452502682308311,0.452502682308311
105,0.426738325448084,0.426738325448083,0.426738325448084
106,0.362176471072817,0.362176471072817,0.362176471072817
107,0.259171905740035,0.259171905740036,0.259171905740035
108,0.125148682759362,0.125148682759362,0.125148682759362
109,-0.0248206105464496,-0.0248206105464494,-0.0248206105464496
110,-0.16917931403468,-0.16917931403468,-0.16917931403468
111,-0.283100219512377,-0.283100219512377,-0.283100219512377
112,-0.343527501351926,-0.343527501351925,-0.343527501351926
113,-0.335165269710371,-0.335165269710371,-0.335165269710371
114,-0.25592080794545,-0.25592080794545,-0.25592080794545
115,-0.119996408791033,-0.119996408791033,-0.119996408791033
116,0.0429658214132508,0.0429658214132509,0.0429658214132509
117,0.193436018659909,0.193436018659909,0.193436018659909
118,0.291614408454931,0.291614408454931,0.291614408454931
119,0.30891819417342,0.30891819417342,0.30891819417342
120,0.237935365558456,0.237935365558456,0.237935365558456
121,0.0971760758763899,0.09717607587639,0.09717607587639
122,-0.0720018024166331,-0.0720018024166335,-0.0720018024166332
123,-0.216612434279417,-0.216612434279417,-0.216612434279417
124,-0.288761359807855,-0.288761359807855,-0.288761359807855
125,-0.262632636297852,-0.262632636297853,-0.262632636297852
126,-0.145459813062686,-0.145459813062685,-0.145459813062686
127,0.0225335694274625,0.0225335694274627,0.0225335694274625
128,0.180675807338561,0.180675807338561,0.180675807338561
129,0.269509641062557,0.269509641062557,0.269509641062557
130,0.253978224041752,0.253978224041752,0.253978224041752
131,0.138838493931516,0.138838493931516,0.138838493931516
132,-0.0309435351539406,-0.0309435351539405,-0.0309435351539406
133,-0.186527709921674,-0.186527709921673,-0.186527709921674
134,-0.262887346114566,-0.262887346114566,-0.262887346114566
135,-0.226826533541414,-0.226826533541414,-0.226826533541414
136,-0.0929402867776403,-0.0929402867776401,-0.0929402867776402
137,0.080686610425416,0.0806866104254154,0.0806866104254158
138,0.216724275158921,0.216724275158921,0.216724275158921
139,0.25311228620357,0.25311228620357,0.25311228620357
140,0.172411746305199,0.172411746305199,0.172411746305199
141,0.0116705440233388,0.0116705440233392,0.0116705440233389
142,-0.153279329207416,-0.153279329207416,-0.153279329207416
143,-0.243107737710388,-0.243107737710389,-0.243107737710388
144,-0.213667985130786,-0.213667985130786,-0.213667985130786
145,-0.0789595871456797,-0.07895958714568,-0.0789595871456798
146,0.0941391081093456,0.0941391081093455,0.0941391081093456
147,0.218251839479058,0.218251839479058,0.218251839479058
148,0.229735150267493,0.229735150267493,0.229735150267493
149,0.122295289412964,0.122295289412964,0.122295289412964
150,-0.0482533744162042,-0.0482533744162037,-0.048253374416204
151,-0.192004155605439,-0.192004155605439,-0.192004155605439
152,-0.232208207285666,-0.232208207285666,-0.232208207285666
153,-0.146989118855105,-0.146989118855105,-0.146989118855105
154,0.0175466225881969,0.017546622588197,0.0175466225881969
155,0.171229862131558,0.171229862131558,0.171229862131558
156,0.228943895572991,0.228943895572991,0.228943895572991
157,0.15833023635277,0.15833023635277,0.15833023635277
158,-0.000975062494354142,-0.000975062494354303,-0.000975062494354193
159,-0.158582023781478,-0.158582023781478,-0.158582023781478
160,-0.224268379145709,-0.22426837914571,-0.22426837914571
161,-0.160086904230176,-0.160086904230176,-0.160086904230176
162,-0.00328772318492213,-0.00328772318492211,-0.0032877231849221
163,0.154344455515942,0.154344455515941,0.154344455515941
164,0.21984956839426,0.219849568394259,0.21984956839426
165,0.154326522350307,0.154326522350307,0.154326522350307
166,-0.00303463499933538,-0.00303463499933561,-0.00303463499933547
167,-0.157504900771099,-0.157504900771099,-0.157504900771099
168,-0.215516678846982,-0.215516678846982,-0.215516678846982
169,-0.141752616194439,-0.141752616194439,-0.141752616194439
170,0.0184733924618052,0.0184733924618052,0.0184733924618052
171,0.166247202889287,0.166247202889287,0.166247202889287
172,0.209870272347959,0.209870272347959,0.209870272347959
173,0.122203917907205,0.122203917907206,0.122203917907205
174,-0.0416069978676053,-0.0416069978676052,-0.0416069978676053
175,-0.178111791816268,-0.178111791816268,-0.178111791816268
176,-0.200740175454523,-0.200740175454523,-0.200740175454523
177,-0.095195689729147,-0.0951956897291472,-0.0951956897291471
178,0.0707117151523583,0.0707117151523582,0.0707117151523583
179,0.190033468740464,0.190033468740464,0.190033468740464
180,0.185599506745058,0.185599506745058,0.185599506745058
181,0.060473174859589,0.0604731748595889,0.0604731748595889
182,-0.103406908439125,-0.103406908439125,-0.103406908439125
183,-0.1984150190554,-0.1984150190554,-0.1984150190554
184,-0.16202565557634,-0.16202565557634,-0.16202565557634
185,-0.0185557599192198,-0.0185557599192196,-0.0185557599192198
186,0.136402425322744,0.136402425322743,0.136402425322744
187,0.199351363741725,0.199351363741725,0.199351363741725
188,0.128251864480716,0.128251864480716,0.128251864480716
189,-0.0287800275416758,-0.0287800275416765,-0.028780027541676
190,-0.16544958316455,-0.16544958316455,-0.16544958316455
191,-0.189073260725355,-0.189073260725355,-0.189073260725355
192,-0.0837897177508101,-0.0837897177508098,-0.08378971775081
193,0.078172762621126,0.0781727626211264,0.0781727626211262
194,0.185587708456025,0.185587708456026,0.185587708456025
195,0.164620182608279,0.16462018260828,0.164620182608279
196,0.0300318594906695,0.0300318594906703,0.0300318594906698
197,-0.124629468606475,-0.124629468606476,-0.124629468606475
198,-0.191744463652522,-0.191744463652522,-0.191744463652522
199,-0.124673869765426,-0.124673869765426,-0.124673869765426
200,0.0293211571228694,0.0293211571228698,0.0293211571228696
201,0.161886530911698,0.161886530911698,0.161886530911698
202,0.179678485258272,0.179678485258272,0.179678485258272
203,0.070394069588615,0.0703940695886151,0.070394069588615
204,-0.0882053184903573,-0.0882053184903574,-0.0882053184903573
205,-0.183256614104331,-0.183256614104331,-0.183256614104331
206,-0.147148205332231,-0.147148205332231,-0.147148205332231
207,-0.00601679616429046,-0.00601679616429057,-0.00601679616429049
208,0.138692858947006,0.138692858947006,0.138692858947006
209,0.182935472861474,0.182935472861474,0.182935472861474
210,0.0950691241976447,0.095069124197645,0.0950691241976448
211,-0.0610649672526183,-0.0610649672526179,-0.0610649672526181
212,-0.172148304726288,-0.172148304726288,-0.172148304726288
213,-0.157591133496828,-0.157591133496828,-0.157591133496828
214,-0.0283189219173683,-0.0283189219173688,-0.0283189219173685
215,0.120982811363704,0.120982811363704,0.120982811363704
216,0.180982639348088,0.180982639348088,0.180982639348088
217,0.107892461856973,0.107892461856974,0.107892461856974
218,-0.0441867059353191,-0.0441867059353191,-0.0441867059353191
219,-0.162945751180369,-0.162945751180369,-0.162945751180369
